service
purchase of assorted stationery
supply and delivery of tyres
repair and maintenance of gk a 336p
"return air ticket to mombasa for mary wachira,elizabeth cheruto,doreen..."
procurement of food items for school of business lab
procurement of foodstuff
procurement of beef
construction of chuka sewerage infrastructure - lot iii
motor vehicles repairs
iec materials for devolution conference
service of motor vehicle - kbl 641g
the proposed erection and completion of 10.no door pit latrines for te...
provision of return air ticket to geneva on business class
"supply of original cartridges cf410a,cf411a,cf412 & cf413a"
supply of first aid kit items
procurement of ssl certificates
provision of structured - cabling
supply and delivery of physics laboratory equipments
provisions of hotel conference
service desicant drier at 101747 hrs
service tg301 at 30184 hrs
service compressor bsd202 at 31832 hrs
service compressor bsd 83 plus dryer at 23896 hrs
supply of  valve assy accumulator
return air ticket on nairobi-jkf-nbi
vehicle maintenance and repair
conference services
tender for partitioning of nhc kisumu house
"provision of consultancy services for environmental, health and safety..."
"supply of non pharmaceuticals (surgical tubes, bin liners)"
provisions of hotel conference for regional staff reviews- nairobi bra...
provisions of hotel conference for staff review- garissa  branch
provisions of full day hotel conference for regional staff review - ki...
provisions of full day hotel conference for regional staff review - ny...
supply and delivery of cotton pestsides
performance based contract  for maintenance of mai mahiu- duka moja (b...
return air ticket on nairobi-kisumu-nairobi
printing of iec materials for hapca
provision for conference facilities
provision of event management services
supply and delivery of stationery
supply of airtime for 2018-2019
"hire of transport to kegonga,migori county"
proposed completion of academic block at dedan kimathi university of t...
rfp for the provision of student smart card
supply and delivery of motor vehicle spareparts /service
provision of full day conferences services for the kenya film commissi...
supply and delivery of furniture items
supply and delivery of library furniture
supply and delivery of library furniture items
supply and delivery of general office stationary
provision of service and repair of vehicle
provision of outside catering services
provision of air tickets
supply and delivery of flash disk
supply & delivery of promotional items
"supply, installation, configuration and commissioning of business inte..."
conference facility for the 50th national coordinating committee (ncc)...
tender for the supply and delivery of bottled mineral water
supply and delivery of general stationery
priting and delivery of service charters
rfq for airtickets to zambia
supply & delivery of toners
provision of event management services in kajiado county
supply & delivery of branded items
provision of entertainment services during the strategic plan launch
"tender for the supply, delivery and installation of a 5kva solar power..."
cleaning services
provision of comprehensive insurance cover for netfund motor vehicle r...
provisions of office cleaning services - garissa branch
supply of red rose flowers
provision of general insurance brokerage services
supply and delivery of trust condom
supply and delivery of traffic wax
printing of iec materials for international condoms day
supply and installation of coolbolt cold rooms panels and accessories
supply & delivery for banners for eldoret ask show
hire of accomodation and conference facilities for the helb universiti...
supply and delivery of tyres size 255/70r16 for vehicle reg. no. kca 5...
printing of adult entry and citizen receipt books
supply and delivery of photocopying papers and toners for stock replen...
proposed completion of dispensary and construction of pit latrine at k...
supply and delivery of electrical materials
supply of tyres
supply and delivery of web camera
provision of consultancy services for impact study of the energy (sola...
return air tickets to livingstone zambia for shem gichimu and salome k...
being for airtel airtime
being for orange airtime
performance based contract for the maintenance of the nairobi southern...
performance based contract for the maintenance of maji ya chumvi – kwa...
performance based contract (pbc) for the maintenance of likoni - ukund...
emergency maintenance of kisumu airport roundabout – sos – riat [a12li...
routine maintenance & spot improvement of elhadi - forolle - jn a2 (tu...
performance based contract for the maintenance of nairobi thika highwa...
routine maintenance & spot improvement of daradhe ap camp - illeret -...
performance based contract for the maintenance of kendu bay - homa bay...
performance based contract for the maintenance of homa bay - mbita (b2...
emergency spot improvement works along the hindi – budhei - basuba - k...
performance based contract for the maintenance of homa bay - rongo (b3...
provision of on- call maintenance and quarterly preventive maintenance...
supply and delivery of indoor and outdoor banners
supply & delivery of promotional materials for eldoret ask show
provision of conference & accommodation facilities
"procurement of return air ticket to mombasa, kisumu and zambia"
provision of conference facilities for a resource mobilization committ...
framework agreement for  airticketing services
supply & delivery of one hundred (no. 100) reams of photocopy papers...
quotation for stand decoration of tvet hands on the future skill show
"supply, delivery, installation, testing, commissioning and maintenance..."
production and supply of branded staff uniforms-rfq/ktb/0099/2018-2019
request for proposal for the provision of public relations and media s...
supply and delivery of kaspersky anti-virus
provision of service and repair of vehicle registration number kbt 682...
provision of printing services
provision of conference facility
tender for provision of waste management services to the university of...
printing and supply of 2019 wall calendars
proposed provision of security services in coast region
provision of general insurance for year 2019
provision of legal services
provision of decoration services at the tvet conference at kicc
supply of fire fighting equipment for nairobi west region
upgrading of gilgil-machinery road
provision of  provision of naivasha office building
supply of mobile phones
supply of assorted toners
"hire of photography, video documentary and editing services"
return air tickets to mombasa for josephine alex and jacqueline sikoli...
service for toyota pickup- 24cg012a
supply and delivery of spare parts & service for toyota pickup 24cg047...
service for toyota corolla- kby 639c
supply of motor vehicle tyres
rebuild & machine rotor shaft inc bearing housing
supply and fit ball bearings 6228 c3 for 1100kw motor
replace the slip rim cable leads for 1100kw motor
statutory occupational medical examination for 840 em
supply and delivery of assorted ict items for resale
"supply,delivery, and installation of a 30 kva avr in the ict server ro..."
hire of conference facilities for breakfast meeting for 250 people-str...
"return air tickets to momasa for paul obiero,charity meja and solomon..."
supply and delivery of printer cartridges & nj matte printing papers f...
tender for supply and delivery of one utility passengers vehicle (62 s...
provisions of office cleaning services - wef head quarters
provisions of office fumigation
provision of cleaning services
tender for the supply and delivery of fresh fruits and vegetables
tender for the supply and delivery of fresh meat and meat products
tender for the supply and delivery of kitchen foodstuff
supply of toners for mult-functional kyocera  machine-dp/ktb/0026/2018...
proposed grading & gravelling of power - sea hourse - maguniani - fumb...
proposed rehabilitation of ambago - majenjeni road
proposed heavy grading and murraming of christ the king kasemerini roa...
proposed grading and spot murraming of kizurini- mkomboani road-2.0 km...
proposed opening of kadate to mwambao road - watamu ward
proposed murraming of jumba ruinsbarani area road
"proposed opening, grading and gravelling of matsangoni ward roads lot..."
"proposed opening ,grading and murraming of various roads in shella at..."
proposed opening of mijomboni centre to kadevu road-dabaso ward.
proposed opening of matsangoni ward roads
"proposed opening, grading and patch gravelling of kakuhani - shingwaya..."
proposed grading and gravelling  of mariakani-bamba road t0 madzimbani...
proposed murraming of kwanureni - mwakuhenga road - mnarani ward - 3.7...
proposed grading and gravelling of zowerani road - tezo ward - 2.6km
proposed grading and gravelling of mida creek indian ocean road-dabaso...
proposed grading and spot murraming of hademu- mwanamwinga road-8.4 km...
provision of accommodation for netfund board of trustees from february...
supply and delivery of leather briefcase.
provision of general insurance services
quotation for supply and delivery of office stationery and computer co...
supply of return air ticket for 1pax to diani-ktb/rfq/t/0010-b/2018-20...
"supply,delivery and installaion of signages for administration block a..."
completion of iso 9001:2015 certification.
supply of mineral water
provision of conference facilities for netfund board of trustees orien...
printing & supply of branded jute bags with new brand logo
provision of half day conference/breakfast for kfc stakeholders in nak...
supply and delivery of phone oppo f9 pro
"return airtickets to kigali, rwanda for naftal michira and sharon nanz..."
printing and supply of brochures
cda branded diaries 2019
"provision of lunch , tea and snacks ( outside catering)"
proposed civil works for aerator at the tertiary aeration tank as per...
supply & delivery of pre-heater castables
supply and delivery of capentry tools
provision of return air ticket to mauritius
replacement of paving tiles at nakuru branch
"supply of fresh bottled mineral water,plastic cups & maintenance of wa..."
provision of staff medical insurance cover
supply of car tyres and battery
supply and delivery of duplex card printer (dual sided)
request for proposal for customer satisfaction survey and work environ...
provision of pensions management information system (pmis) application...
modification of motor vehicles for the national police service
supply and delivery of process & water treatment chemicals
proposed micro tunneling along thika road (a2) at kariokor
security services
"supply, delivery and installation of pre-cast road reserve edge marker..."
"request for consideration and approval of casting, supply, delivery of..."
supply of return air ticket for 2pax to kisumu -ktb/rfq/t/003/2018-201...
supply of return air ticket for 2pax to diani-ktb/rfq/t/0009/2018-2019
supply of bottled drinking water in 18.9 l can
supply and delivery of office stationery
supply and delivery of pesticides for locusts control
"supply & delivery of assorted estate materials e.g. hardware, plumbing..."
purchase of library books
provision of venue for the review of hr guidelines
"supply, delivery and pumping of clean water at ca centre"
supply of mashinani record books
supply of ups and associated accessories
supply of ip telephone headsets
supply of heavy duty utility passenger vehicles to src through gok cir...
supply of office stationery
provision of insurance brokerage services for staff medical cover
supply and delivery of office furnitures
provision of  newspaper for 1 year from february 2019-january 2020
provision of airtime
proposed construction of dairy unit
"supply, delivery, installation and commissioning of mortuary refrigera..."
"supply, delivery and installation of 3 parts hematology analyzers for..."
printing of livestock vaccination cards
"supply, delivery installation and commissioning of pre-vacuum electric..."
"supply, delivery and installation of coagulation analyzers for nyeri c..."
"supply, delivery and installation of biochemistry analyzers for six ru..."
supply of stationery
purchase of sac & sba resins
procurement of sophos internet traffic threat management system (ittms...
supply and delivery liquid chlorine in lots(framework contract for thr...
provision of insurance brokerage services
"proposed completion of refurbishment works to the former pc’s home, mo..."
hire of venue and catering services during the annual performance revi...
supply of return air ticket from jordan-ktb/rfq/t/0012/2018-2019
supply o freturn air ticket for 1pax from capetown-ktb/rfq/t/0002/2018...
supply and delivery of oppo f9 smart phone
"supply, delivery and installation of an integrated enterprise resource..."
provision of conference facilities to review the netgep concept to be...
provision of conference facilities for a stakeholder meeting to refine...
"provision of transport facilities on january 29,2019 and february 1, 2..."
request for proposal for provision of event management services for st...
printing and supply of business cards
servicing of motor vehicle
supply & delivery of toners and cartridges
"supply & delivery of electrical materials (youth, women & pwds)"
supply of fuel oil cst 125
"rewind motor,replace fan,replace bearings-18.5kw,34am"
supply of airtime for 3rd & 4th quarter 2018-2019
"supply, delivery, installation and maintenance of borehole pump"
supply of return air ticket for 1pax from uae-ktb/rfq/t/0015/2018-2019
proposed fencing at ting’ang’a/anmer block 7/1949(afc plots)...
design and printing of annual reports and financial statements
tonners
branded polo t-shirts
supply and delivery of tonners
provision of workmen injury benefit act
supply of long life milk in 500ml
repair of chambers ict system
tender for the provision of consultancy services of obstacles maintena...
supply of aggregates
supply of sand river
supply of reinforced bar (deformed bar)-d12
supply of reinforced bar (deformed bar) d8
"supply of quarry stones 9"" x 9"" undressed"
"supply of quarry stones 6"" x 9"""
"rewind motor 160 kw,415 v,1485 rp"
replace motor bearings
space order for publishing annual results (1/2 page)
space order for publishing summary annual results dsaj/20
supply and delivery of assorted office furniture and fittings
procurement of perishables
procurement of charcoal
supply and delivery of spare parts  for toyota fortuner -24cg028a
awareness training on iso 22000:2018 based food safety management syst...
provision of medical insurance cover for npsc commissioners and staff...
lifting & diagnosis of 15 kw borehole pump.
"design, printing & supply of eco friendly bags for wcrd  "
supply of return air ticket for 1pax from london uk.-ktb/rfq/t/0001/20...
"provision for supply,fitting and alignment of car tyres and tubes"
provision of conference facility during ggep implementing agents train...
"provision of fumigation,pest and rodent control  services"
proposed completion of karatina stadium wall boundary
proposed chainlink fence and construction of ablution block at kinunga...
proposed upgrading to cabro standards and drainage works from cdf soci...
purchase of catering food stuff
tender for provision of airtime for national police service commission
supply of scalfolding clamps 90 degrees
provision of customer care and reception services
provision of cleaning sanitary and fumigation services
supply of hp cf410-3a original toners-rfq/ktb/0092/2018-2019
supply of hp cf 380-3a original toners-rfq/ktb/0091/2018-2019
supply of hp ce505a original toners-rfq/ktb/0090/2018-2019
supply of general use office items -rfq/ktb/0094/2018-2019
supply and delivery of chemistry  laboratory acetylene gas
supply and delivery of pallets
provision of onsite support for national treasury ifmis security infra...
supply of tonners
purchase of   yealink ip phones
supply of branded folders
supply of service charters and pull-up wide base
supply of cylinder head gasket
hire of front end loader for 200 hrs
kimende kagwe-ruiru river-githunguri
provision of renovation works at iten office building
provision of renovation works at afc narok office  building
supply of hardware materials for the factory
supply of basic switches 810/100/1000 mbps rj45 ports 8 poe por
giveaways for otm 2019
provision of renovation works at afc machakos office building
provision of renovation works at afc muranga office building
provision of iso 9001:2015 quality management system (qms) documentati...
supply of tonner for kyocera 2552 c i
groundwater exploitation and development including construction of sto...
supply and delivery of stationary
supply of server
supply and delivery of food (non perishables)
request for quotation- supply and delivery of pure mineral drinking wa...
supply and delivery of factory spares
supply and delivery of office furniture
supply and delivery of sugar and wheat flour
supply and delivery of planting and top dressing fertilizer to the 45...
supply and delivery of biometrics
supply and delivery of physics laboratory accessories
"supply and delivery, of seed treatment chemicals on framework contract"
supply and delivery of human drugs
procurement of stationery
procurement of cleaning materials
procurement of cleaning
lot 4-periodic maintenance of lot 4 roads (off kitui-kusyomumo)-machak...
lot 11-periodic maintenance of lot 11 roads (devki-kinanie rd)-mavoko
supply and delivery of male and female corporate shirts for netfund st...
procurement of maintenance and annual support services of manage engin...
provision of return air ticket to rwanda
provision of return air ticket to mombasa
provision of clearing and forwardibg services
supply of business laptops
"the proposed upgrading of kianyaga market, at kianyaga town, kirinyaga..."
"the proposed upgrading of kagumo market, at kagumo town, kirinyaga cou..."
supply and delivery of sorting buckets
"improvement of ngong view court, groove, lane and end roads"
supply and delivery of chicks
supply and delivery of soil scanners
provision of towing services
procurement of half board accomodation and conference facility
supply of weighbridge tickets
outsourcing of kunkur quarry mining operations
"quotation for design, printing and delivery of authority to incur expe..."
sterile swab sticks with buds
supply and delivery of newspapers
"supply and delivery of desk top computers, laptops, telephone sets, ip..."
supply and delivery of toners.
procurement of web based  mobile asset management software
supply and delivery of  drinking water
procurement of maintenance and servicing of air conditioners at integr...
hire of two dump trucks for kabini quarry
supply of gal sheets box profile
creation of area managers office at nakuru regional office
purchase of color multi-functional printer
supply and delivery of calenders and diaries for 2019.
"supply and delivery of printer cartridge 410 a (cyan, yellow,magenta a..."
supply and delivery of assorted general office supplies and toners for...
"supply,delivery,installation and commissioning of dental units for nye..."
modernisation of chamber and interior works
"facelift for office of the speaker, clerk and modernisation of committ..."
"supply and delivery of water and disposable cups, hire of hot and cold..."
tender for provision of preventive maintenance and repair of access co...
request for proposal (rfp) for the provision of car and mortgage schem...
supply of return air tickets  for  3pax  to mombasa-ktb/rfq/t/010/2018...
supply of return air ticket for 1pax to mombasa-ktb/rfq/t/005/2018-201...
"supply and delivery of agro-chemicals (herbicides, fungicide & insecti..."
supply of staff uniforms
supply and delivery of news papers for head office
tender for provision of legal audit services
tender for prventive maintenance and corrective maintenance of air con...
addedum for extension -provision of group personal accident cover for...
proposed construction of ablution block and drainage work at endarasha...
proposed roofing and cabro paving at kamakwa market
"proposed construction of ablution block, fence and septic tank at nyar..."
supply and delivery of tyres size 225/70r17c
routine maintenance of ncpb junction nakwamekwi primary-naurienpuu roa...
tender for data centre environment monitoring security system
hire of podium
proposed two (2no) year maintenance of air conditioning system for the...
"supply, delivery and installation of assorted office furniture (in six..."
provision of public relations services for kcaa for two (2) years
security services for nyeri county referral hospital
provision of cleaning & laundry services for mukurweini sub-county hos...
provision of cleaning services  for karatina sub-county hospital
"supply, delivery, installation and commissioning of dental units compl..."
supply and delivery of three seater modern waiting bay seats for nyeri...
3 parts hematology analyzers for mukurweini and mt.kenya sub-county ho...
"tender for maintenance of air conditioning units at ca centre, coast,..."
tender for provision of markrting and advertising agency services
supply and delivery of light duty ups - 1.5 kva
"supply of medium paper punch engraved helb,pencil staedler & stick on..."
provision of consultancy services for customer satisfaction and corrup...
"supply,delivery,installation and  commissioning of secure web gateway..."
feasibility study of seaweed farming (blue economy)
supply and delivery of fishing boat nets and diving equipment's
supply and delivery of crab cage
15 minutes documentary on blue economy and media publishing
feasibility study of octopus fishing (blue economy)
supply and delivery of tilapia fingerlings
"procurement of comprehensive insurance for 8 dlp vehicles(kcp 543k,544..."
"supply and delivery of desktop computers, laptops and server"
"tender for supply, installation, configuration and implementation of a..."
"supply, installation and management of alarm, tracking and online mana..."
provision firewall network security
provision of motor vehicle insurance cover
provision of fire and other perils insurance cover
purchase of water pump
"supply and installation of 2no. 12,000 btu/h air conditioner unit"
tender for the supply and installation of full ip based pabx - ktb/rfp...
supply and delivery of tractors and farm equipment
printing and framimg of iso 9001:2015 policy statement a3 size glassed...
renovation of toilet facilities at kfs main field and the canteen
supply and delivery of original toners for stock replenishment
supply and delivery of toner for photocopier machine taskalfa kyocera...
supply and delivery of hard disks.
procurement of repairs of air  conditioning system for the ceos office
"provision of cleaning, fumigation and pest control services "
supply and delivery of various toners and stationery (framework contra...
supply of air drier
purchase of door locks and fittings
supply and delivery of paper clips
supply and delivery of armored cable
supply of vmwaere licences
supply and installation of electrical materials at gdc
supply and delivery of  additional equipment
supply and delivery of teaching materials
quote fof contract for supply and delivery an adultcoffin made of hard...
supply and delivery of tyres kbt 953n
construction of oloyiangalani dam
construction of oloisho-oibor-kimuka water supply
provision of courier services
supply and delivery of hp desktop and printer
supply and delivery of lcd digital display - medium
purchase of fuel for the state department of wildlife
return air ticket-nairobi-mombasa-eldoret-nairobi for the board chairm...
supply and delivery of factory items
supply and delivery of factory electrical spares
supply and delivery of boiler maintenance spares
painting of eldoret branch
provision of support licences for veritas backuop software
drilling borehole at consolata shrines
proposed conversion of lh01 to chemistry laboratory
supply and delivery of lasejet printer - heavy duty colour
supply and delivery of lasejet printer/scanner/copier - multifunction...
public notice advertisement regarding settlement of debts by sawmiller...
modification of 42 no. leased motor vehicles for the national police s...
provision of ifmis secondary node co-location site
framework contract for supply and delivery of printed and general stat...
supply and delivery of lab equipment's and chemicals (physical science...
supply and delivery of laboratory chemicals and reagents (microbiology...
supply and delivery of laboratory chemicals and reagents (zoology)
"hire of splitting of firewood, timber and transport to the university..."
"quote for supply,delivery and installation of wooden condom dispensers..."
supply of kaspersky anti-virus license
provision of venue during the ifrrs training
"hiring of led screens,video cameras,video mixers and power generator f..."
provision of medical cover for uhiv felowship program
"designing, printing and supply of uon 2018 -2023 strategic plan"
"supply, delivery, installation and commissioning of gis mass-  valuati..."
rfq for supply of ssl certificates
motor vehicle insurance
periodic maintenance of lot 02  roads (siaya  urban area).
routine  maintenance   of lot 03  roads (siaya urban area).
routine  maintenance   of lot 04  roads (bondo urban area).
periodic maintenance   of lot 05  roads (bondo urban area).
routine  maintenance   of lot 06  roads (kisumu urban area).
periodic  maintenance   of lot 07  roads (kisumu urban area).
supply and delivery of ups batteries
proposed regeneration of mama  ngina drive waterfront and cultural dis...
"supply, delivery, installation of kaspersky enterprise 900 users licen..."
supply of laptops screen
provisions of office cleaning and tea preparation services  for nairob...
hire of front end loader
tender for provision of cash in transit services
supply of apple ipad 2018
supply and delivery of gift bags
supply and delivery of laptop
provision of information security consultancy services
supply and delivery of 1/2'' and 3/4'' mix ballast
supply of new battery 12v 220ah for isiolo fire tender
purchase of office furnitures
provision of sanitary services- central rift region
provision of return air ticket to lusaka  zambia
provision of venue for 2018 staff end of year party
provision of entertainment services for the ira 2018 staff end of year...
supply of office stationery-rfq/ktb/0068/2018-2019
supply and delivery of chemistry lab equipment
rfq for supply of adobe creative software
provision of consultancy services for the development of a business co...
supply of network and storage accessories
provision of public relations consultancy services for the unclaimed f...
tender for provision of disaster recovery (dr) site and co-location se...
provision of eateries
purchase of multifunctional heavy duty printers(photocopiers): contrac...
hire of transport to maanzoni(end year party)
supply of diesel
quote for construction tower in shimoni based on the attached bq .
provision of air tickets to poland
provision of security guarding services
supply of 8port cisco switches
supply of sarian digi wireless routers
supply and delivery of printing works
supply and delivery of wired router - basic
supply of desk top computer
supply of ups as per specifications
security reseable bags with lags
maintenance and service of kbt 466n
supply and delivery of computer statationary
conference facility ( healthit)
proposed construction of a medical complex at kirinyaga county referra...
tender for proposed paving and marking of kutus parking phase ii
tender for the construction of the proposed kagio matatu parking phase...
printing of promotional materials for the fourth coming stakeholders m...
the proposed library block (main campus)
supply and delivery of poultry and allied products
supply and delivery  of printed promotional materials accountable  doc...
supply of pedal accelerator
supply of case -6221-71-3110
supply of bracket anchor
supply of brake shoe (rear)
supply of printed stationery as per specifications
construction of mandera water supply infrastructure (lot 1)
provision of motivational in-door activities for end year party
supply and delivery of assorted phone models
supply and delivery of water meters
supply and install christmas decorations
provision of security services
provision of group personal accident and work injury  benefit  insuran...
supply & delivery of sanitary pad dispensing boxes
provision of venue for rba end of year party
supply and delivery of mineral water and assorted sodas
plumbing materials for repairs & maintenance
supply of beige brush cotton caps
supply of photocopying papers a4 80gsm white
design printing and supply of calendars as per specifications
"quotation for design, supply and delivery of branded items"
conversion works to create a traige room at ca centre
supply of general office sttaionery
supply of anti- tb medicines
supply of proficiency testing (pt) panels
hire of accommodation and conference facilities for the staff end year...
"return air tickets to mombasa for solomon wanyama,richard wambura and..."
procurement of cereals
supply and delivery of mortar mixer
performance based contract for the maintenance of kisumu bypass (uca1-...
provision of return air ticket nairobi-dar- nairobi)
performance based contract for the maintenance of muthaiga - kiambu (b...
performance based contract for the maintenance of marsabit - turbi (a2...
routine maintenance & spot improvement of junct b86/b87 waldena - junc...
routine maintenance and spot improvement of mangu - thika (b30) road
routine maintenance & spot improvement of masara - muhuru bay (b1 road...
performance based contract for the maintenance of kisian - ahero (a12)...
provision of printing services for license certificates for sacco's
provision of security services to uchumi house and icdc projects in mo...
provision of venue for board & management luncheon
"supply,delivery and fixing of polyester cotton curtains complete with..."
"supply of branded round neck t-shirts, branded caps and branded biro p..."
supply and delivery of computer laboratory furniture
supply & delivery of perishable foodstuff
"fabrication, construction, installation & commissioning of flue stack..."
"supply and delivery of boardroom chairs, ergonomic chairs and executiv..."
supply and delivery of an executive chair to netfund
provision of production and transmission services of five minutes news...
procurement of production and transmission of five minutes news featur...
provision of eacc documentary airing services on ktn home.
provision of eacc documentary airing services on citizen tv.
provision of outside catering services (framework contract for one yea...
supply and delivery of airtel airtime
performance based contract for the maintenance of moi international ac...
provision of return air tickets (nairobi-arusha- nairobi)
provision of return air tickets (nairobi -belgium- nairobi)
events management during maisha youth festival
annual maintenance  for toshiba copiers
annual maintenance for canon copiers
supply & delivery of board gift hampers
supply and delivery of factory maintenance spares
printing of accountable documents-field payment vouchers for finance a...
supply and delivery of box files for accounts archives
supply and delivery of assorted office stationery and toners
suppy and delivey of various assorted items for stock replenishment
printing of bronchures and mounting pictures of mangrove resources
"provision of drapery in kfs corporate colours on walls, tables,chairs..."
dome shaped tent
proposed completion of kakamega county court
hire of  sound  system
hiring of graduation gowns
routine maintenance and spot improvement of ngariet-kongi-cheptilil ro...
supply of motor cycle 125 cc c/w carrier
quote for construction of classroom at shimoni primary school  based...
request for quotation for supply and delivery of stationery for novemb...
request for quotation for supply and delivery of ict  requirements for...
request for quotation supply and delivery of access cards
supply of air time for the december 2018
provision of air travel
provision of fit out works for cashier cubicles at arziki restaurant
supply and delivery of exhibition materials
supply and delivery of toners and cartridges
provision of routine maintenance and improvement of kfs main field
branding of motor vehicles with kfs colours
provision of editing and  voice over for a 20 minute documentary to be...
provision of monthly maintenance of lifts in government building for a...
printing of the third national conference booklets full colour 42 page...
supply of cleaning materials
"supply,delivery and installation of a mettalic grill cage "
hire of dump trucks
printing of various items for use during the iso re certification  cel...
supply & delivery of branded diaries 2019
provision of catering services & conference facility for substation te...
provision of sanitation & sanitary services
supply and delivery of assorted electrical items for use at kfs headqu...
supply of banners
supply of motorbikes branded with kdb logo and fitted with a carrier
"tender for supply, delivery and installation of a 30kva ups at kcaa he..."
"the proposed installation, configuration, testing, training & commisio..."
provision of internet and wan links services for one year for the remo...
repair of printers
provision of return air ticket to paris - france
printing and publications
supply and delivery of aggregation switch 48 ports
supply and delivery of staff uniform for bulk unit
"supply, delivery and installation of mass lab air-conditionder"
supply of rings assembly
performance based contract for the maintenance of museum hill – james...
performance based contract (pbc) for the maintenance of rumuruti – nai...
performance based contract for the maintenance of ngeria - timboroa (a...
